SaleDate,CustomerId,ProductId,Quantity,Price,SaleAmount
01/01/2023,7,4,7,400,2800
01/01/2023,7,6,4,600,2400
01/01/2023,,3,1,300,300
01/01/2023,6,3,5,300,1500
02/01/2023,10,4,7,400,2800
02/01/2023,10,4,3,400,1200
02/01/2023,3,,4,300,1200
02/01/2023,3,6,3,600,1800
02/01/2023,2,1,8,100,800
02/01/2023,2,6,6,600,3600
03/01/2023,4,,3,300,900
04/01/2023,4,4,3,400,1200
05/01/2023,6,4,7,400,2800
06/01/2023,6,4,5,400,2000
07/01/2023,10,2,7,200,-100
08/01/2023,10,3,5,300,1500
09/01/2023,10,2,7,200,1400
########,10,3,5,300,1500
########,5,,5,500,2500
########,5,5,5,500,2500
